,video game,date,score,review,rating
0,the-lord-of-the-rings---gollum,27-Jul-23,0,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,Negative
1,the-lord-of-the-rings---gollum,24-Jul-23,0,"so horrendously bad I **** my pants and had a brain aneurysm while playingi played for only 1 hour so i could still get a refund.and in that hour i counted over 25 bugs and the game crashed 3 timesstory is uninteresting and boringgameplay is awfulcamera bugs during cutscenescharacters look very bad straight outta the ps2forcing you to pay for the elves to speak elvish absolutely mind boggling how its even legal to charge 6 dollars for characters to speaki should've been payed to play this game i should've been given a 20 million dollar mansion just to play this",Negative
2,the-lord-of-the-rings---gollum,22-Jul-23,1,"This game is inspirational.After playing this I feel like I can make a video game; no programming or gaming experience needed. I do give it a 1 as it does have better graphics then I could make on my own.",Negative
3,the-lord-of-the-rings---gollum,20-Jul-23,0,"Typical after-2013 game (huge hype and then huge disappointment), basically no story, broken gameplay and controls, parkour is awful, C64-graphics",Negative
4,the-lord-of-the-rings---gollum,9-Jul-23,5,Better than I expected. Some cool ideas but most likely not enough budget to implement correctly.,Average
5,the-lord-of-the-rings---gollum,1-Jul-23,0,==========even free or watch it on utube not worth it avoid it all cost.==========-very very happy company make this game (90 person) got fired and no more making games but hope they find jobs but not in gaming.,Negative
6,the-lord-of-the-rings---gollum,26-Jun-23,0,"They release this POS and have the gall to ask for more money for the DLC ingame: emotes, elven voices and a lore compendium?!?There isn't even lore in the game.What the F?!?",Negative
7,the-lord-of-the-rings---gollum,25-Jun-23,0,This is THE Worst game I have ever played. If I could give it a negative score I would.,Negative
8,the-lord-of-the-rings---gollum,23-Jun-23,0,Truly one of the worst games I have ever played in my entire life. A disgrace to Tolkien and a disgrace to mankind in general.,Negative
9,the-lord-of-the-rings---gollum,17-Jun-23,0,"It was 70$ for a game that crashes every fith minute and has graphics that look like it was made in the very early 2000's. The game is unplayable, controls suck and the story is also very drawn out with unesesarilly long cutscenes. Unless the devs fix most of the problems in the game it will stay a 0 from me.",Negative
10,the-lord-of-the-rings---gollum,11-Jun-23,0,"HORRIBLE GAME! IN 5 HOURS, I COUNTES ABOUT 34 BUGS. THE CHARACTER IS UGLY AND THE PERFORMANCE ITS WORSE THAN THE FCKING GAME. 0/10",Negative
11,the-lord-of-the-rings---gollum,10-Jun-23,0,Disappointing with a failed execution. Stay away from this and more for the price it has. A pretty forgettable title and more for fans of The Lord of the Rings.,Negative
12,the-lord-of-the-rings---gollum,7-Jun-23,6,"This game has high technical requirements. Gollum is a very good game for the game it wants to be. You climb the whole time, move with gollum and have the lore around.It has better graphics, hard riddles and a good gameplay feeling. The story is LOTR. All in all great game, you could buy the hardware for it, but also playable on lower. Way better in relation to titles that get hype bot ratings.",Average
13,the-lord-of-the-rings---gollum,7-Jun-23,0,"This game should never have been made. Everything about it is terrible. The worst part of it is that it's set in the most iconic fantasy world know to man; Middle Earth. This game basically takes evrything Tolkein has lovingly crafted, and coughs up phlegm all over it. Just, don't buy this game, and if you have, get a refund, immediately. I wish we could refund this game's existence.",Negative
14,the-lord-of-the-rings---gollum,5-Jun-23,0,"Worst game ever, it's evil to buy and play this game. The graphic quality is unacceptable, the gameplay is a mess, it's painful to play it.",Negative
15,the-lord-of-the-rings---gollum,4-Jun-23,0,"This is the most amazingly broken garbage I have seen outside of asset flips.  The high scores are either people that worked on it, family of them, or people making jokes but forgetting the /s or /kappa to indicate it.  While this looks like a cheap asset flip, it is not.  At least with an asset flip the mechanics are reliable.  This will end in a class action for anyone that paid and could not get a refund.  This is not a game, this is torture.",Negative
16,the-lord-of-the-rings---gollum,4-Jun-23,0,A glitchy ugly mess with an uninteresting unfocused story and the most primitive design I've ever seen in a big game. The whole thing looks like a fan project and selling it for 50 bucks is a joke.,Negative
17,the-lord-of-the-rings---gollum,4-Jun-23,3,"Horrific on many fronts. It's only redeeming quality is the visuals & storytelling. The style, while certainly jarring at first, is actually quite cohesive and well put together as a whole.",Negative
18,the-lord-of-the-rings---gollum,3-Jun-23,5,Yes what happened here? Devs should give this game a big makeover or a pricedrop now.,Average
19,the-lord-of-the-rings---gollum,3-Jun-23,8,"Interesting characters and beautiful picture, good atmosphere of Middle-Earth, but long climbing may bored you.",Positive
20,the-lord-of-the-rings---gollum,3-Jun-23,0,"Absolute piece of ****The idea is idiotic, the gameplay is horrendous, oh and the performance! It runs bad, but the graphics are good right? HAHAHAH no, ps3 graphics with awful texture load times and your favorite, stutters. Game 'reviewers' had the audacity to give it a 4/10 or even 6/10 in their 'reviews'. This game is just another proof that gaming journalists are utter clowns who shouldn't be allowed to have an opinion.",Negative
21,the-lord-of-the-rings---gollum,2-Jun-23,0,Thinking about him makes me sick.  It would be better if the developer of the game cancels the development process.  Please buy this game because the poor guy has no money.,Negative
